============================================================
TRACKING UPLOAD SUMMARY - 2026-03-30 20:55:30
============================================================
Total FBA shipments: 128
  Successful:   0
  Partial:      0
  Failed:       79
  Skipped:      49

DETAILS:
  [NOTFOUND] FBA1994W71T8  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA196Q71BN5  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA1972Q2S5Y  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA195W5SLF9  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA1994R6Y64  - 0 added, 0 existed, 0 failed (of 1)
  [SKIP]     FBA1994VYMRC  - 0 added, 0 existed, 0 failed (of 0)
  [SKIP]     FBA199532MZ3  - 0 added, 0 existed, 0 failed (of 0)
  [NOTFOUND] FBA198L0HB5T  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA1968Z317V  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA1994T0HF5  - 0 added, 0 existed, 0 failed (of 1)
  [SKIP]     FBA198MNFVNH  - 0 added, 0 existed, 0 failed (of 0)
  [SKIP]     FBA198MN5NHS  - 0 added, 0 existed, 0 failed (of 0)
  [NOTFOUND] FBA1994W8NZR  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA197HFQ6Y9  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA195W4HTHN  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA1994W44D1  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA1976XBL9F  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA1924FWPYT  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA196GJL5C1  - 0 added, 0 existed, 0 failed (of 1)
  [SKIP]     FBA195KFDJQ6  - 0 added, 0 existed, 0 failed (of 0)
  [SKIP]     FBA195RQWLVN  - 0 added, 0 existed, 0 failed (of 0)
  [NOTFOUND] FBA1968XYYNC  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA1978NH5R3  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA1972MKJNZ  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA19659Y3RJ  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA197HCLBGJ  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA195KFXXLQ  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA1994XHX7Z  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA19659DXNC  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA197G2V41K  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA1994STMLD  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA196Q8M55J  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA196GJK92W  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA1968ZKT05  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA196S4SMHM  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA196598GYB  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA1994SLXTR  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA198L0VZDW  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA195W5TZJF  - 0 added, 0 existed, 0 failed (of 1)
  [SKIP]     FBA1974M4SY4  - 0 added, 0 existed, 0 failed (of 0)
  [SKIP]     FBA19691M6ZB  - 0 added, 0 existed, 0 failed (of 0)
  [NOTFOUND] FBA1974P91HS  - 0 added, 0 existed, 0 failed (of 1)
